bacterium_id,angle,max_intensity,region,filename,threshold_used
7687,288.38914935260044,934.4,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
7817,67.99679848907812,397.0,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
7948,56.993914705518606,817.1428571428571,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8078,250.09256344770165,856.0,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8143,253.86859645528,879.4285714285714,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8208,75.66989970458782,327.3333333333333,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8338,267.0871534496231,746.8,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8404,78.37581445254915,826.6,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8534,258.5551765738926,830.8,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8599,238.86613300287934,581.8,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8664,67.450306491434,464.1111111111111,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8925,219.0976900431158,611.8571428571429,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
8990,26.363061093117338,603.4,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
9120,236.33047254102962,355.8,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
9185,229.68525140837914,691.5,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
9250,255.67361632076182,350.6,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
9381,244.5840809973189,401.4,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
