bacterium_id,angle,max_intensity,region,filename,threshold_used
3030,307.2200124199261,460.2,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3086,357.7849333886217,340.8333333333333,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3142,299.2457310973427,582.4285714285714,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3254,153.18177587193034,313.8,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3310,326.8899532634381,638.6,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3367,341.0998239663884,192.8,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3423,140.39386344467087,328.55555555555554,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3479,310.95834974488395,546.5,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3535,179.142448312499,275.8,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3591,332.4124452240617,677.0,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3647,345.2964725917796,461.6,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3703,320.6213148100562,326.1666666666667,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3759,291.01936556203583,540.0,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
3815,331.39471594868274,237.8,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
