IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
419,0,775,775.4,147,147.07,95.7,461,489.0,0.94,39.81,35.3,12.17,11.43,3.27,3.09,1.77,101.59,98.91,4635,6621,5452.32
420,0,1179,1179.16,146,146.66,107.54,533,568.0,0.94,45.0,40.24,10.82,11.91,4.16,3.38,0.93,53.13,48.63,4761,6810,5455.1
421,0,1988,1988.79,142,142.27,74.53,308,333.0,0.92,28.86,25.47,11.18,10.53,2.58,2.42,1.33,75.96,72.66,4773,6575,5430.15
422,0,478,478.07,135,135.69,79.21,378,393.0,0.96,31.58,27.91,13.15,11.64,2.4,2.4,0.19,10.95,1.26,4543,6036,5127.22
423,0,698,699.0,156,156.17,129.36,646,703.0,0.92,56.14,49.83,10.0,11.85,5.61,4.21,1.64,94.09,94.06,4482,6506,5226.7
424,0,754,754.65,141,141.01,74.91,352,367.0,0.96,29.41,25.72,12.21,11.79,2.41,2.18,0.62,35.31,44.7,4580,6437,5374.04
425,0,154,154.63,140,140.31,75.01,345,361.0,0.96,30.02,25.74,12.53,11.53,2.4,2.23,2.62,150.02,148.68,4484,6390,5208.41
426,0,63,63.56,150,150.72,116.02,580,635.0,0.91,49.58,43.91,10.63,11.85,4.66,3.71,0.84,48.27,48.37,4669,6920,5483.91
427,0,446,446.77,137,137.98,80.28,378,402.0,0.94,31.78,27.49,12.37,11.82,2.57,2.33,0.22,12.72,4.27,4714,6697,5323.1
428,0,736,736.17,150,150.63,95.46,466,493.0,0.95,40.11,35.58,12.0,11.55,3.34,3.08,1.5,85.71,86.4,4657,6600,5364.5
429,0,934,935.07,145,145.03,103.05,518,551.0,0.94,42.72,37.91,11.66,11.99,3.66,3.16,0.57,32.57,33.22,4523,6664,5309.14
