IDENTIFIER,TRACK_ID,TRACK_FRAME_LENGTH,TOTAL_DISPLACEMENT_PIX,TOTAL_DISPLACEMENT_MIC,END_TO_END_DISTANCE_PIX,END_TO_END_DISTANCE_MIC,PERSISTENCE,SINUOSITY,MAX_DISTANCE_PIX,MAX_DISTANCE_MIC,MEAN_DIRECTIONAL_CHANGE_RAD,MEAN_DIRECTIONAL_CHANGE_DEG,SPEED_PIX_FR,SPEED_MIC_SEC,AVERAGE_ANGULAR_VELOCITY_RAD_FR,AVERAGE_ANGULAR_VELOCITY_DEG_SEC
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,35,60,30.651776048490394,1.9923654431518756,8.50371958859753,0.5527417732588394,0.27742991385376314,3.6045139693447505,8.58449510668009,0.5579921819342059,1.2689110538600508,72.7032479636784,0.5195216279405152,0.006753781163226698,-0.046497496511349684,-0.5328220616049212
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,36,60,27.084861720443005,1.7605160118287955,1.2159781583620595,0.07903858029353387,0.044895121522598294,22.274135052661403,5.278394012268117,0.3430956107974276,1.4024716575697846,80.35570686546548,0.4590654528888644,0.005967850887555238,0.005618494274709651,0.0643832018318559
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,37,60,18.718319911226,1.21669079422969,3.5737821072911906,0.2322958369739274,0.190924298988387,5.237677997502168,5.5127900721970695,0.3583313546928095,1.2436368786824028,71.25514439532486,0.31725965951230517,0.004124375573659967,0.022679748483097246,0.2598907736999406
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,38,55,44.47534932301805,2.8908977059961734,1.1035433433455768,0.07173031731746249,0.024812471630761133,40.30231308195251,6.6253801898061155,0.4306497123373975,1.5342092965266583,87.90371758071255,0.8236175800558899,0.01070702854072657,-0.011235951053669903,-0.12875451483817116
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,39,60,39.40175836227369,2.56111429354779,3.987085380523379,0.25916054973401964,0.10119054443877117,9.882346275991079,6.176109394451749,0.40144711063936367,1.52590591909507,87.42796909817835,0.6678264129198932,0.008681743367958612,-0.0058712934108041,-0.06728006654440896
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,40,60,41.41551539929939,2.69200850095446,4.469184360101734,0.2904969834066127,0.1079108714937624,9.266906903423566,12.188771264958628,0.7922701322223109,1.3913222938015397,79.71689537728896,0.7019578881237185,0.00912545254560834,0.019929250056636413,0.22837238342122465
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,41,60,40.20382985863428,2.613248940811228,3.1558247641839885,0.20512860967195926,0.07849562529939509,12.739563462114445,7.576910210402922,0.4924991636761899,1.4626754770350776,83.80513163139432,0.681420845061598,0.008858470985800773,0.015828905819924733,0.1813858995583506
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,42,60,22.76042675766338,1.4794277392481199,8.282349091403185,0.5383526909412071,0.3638925218576817,2.7480641671199275,9.018164392193945,0.5861806854926065,1.346531628679097,77.15057930418918,0.38576994504514206,0.005015009285586847,0.010736770036395941,0.12303432173760213
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,43,60,21.57063221259746,1.402091093818835,3.7106219525624295,0.24119042691655793,0.17202193778981545,5.81321204055873,6.310314141243912,0.4101704191808543,1.1421547236652874,65.44064521695178,0.3656039358067366,0.004752851165487576,0.011533841257807289,0.1321680851292437
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,44,60,27.771607450356594,1.8051544842731786,3.47788945687915,0.22606281469714476,0.12523183841972724,7.985189809706365,4.323384890796757,0.2810200179017892,1.3943407810969715,79.88984195983106,0.47070521102299306,0.00611916774329891,-0.0141427461459544,-0.16206393297761962
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,45,19,10.53529591060411,0.6847942341892672,4.788344011290199,0.31124236073386297,0.4545049376800683,2.200196119109959,5.495885659373656,0.35723256785928764,1.0725037292592008,61.44993719859371,0.5852942172557839,0.007608824824325192,-0.14240094489923774,-1.631794628280262
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,46,60,18.837767280580415,1.224454873237727,4.572105208160671,0.2971868385304436,0.24270950692091778,4.120151751310799,4.572105208160671,0.2971868385304436,1.5332967596276825,87.85143306775129,0.31928419119627816,0.004150694485551616,-0.036820003927734546,-0.42192616534286076
