,Abscissa,red_250319_2619+2621_0p5agarose_LB_OD0p5_mix50pc_1h30_20X_019.tif,red_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_1h30_20X_027.tif,red_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_1h30_20X055.tif,green_250319_2619+2621_0p5agarose_LB_OD0p5_mix50pc_1h30_20X_019.tif,green_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_1h30_20X_027.tif,green_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_1h30_20X055.tif
82,249.3877046031788,29.366666666666667,138.13333333333335,147.13333333333333,82.1,152.76666666666665,233.53333333333333
83,252.62650596166165,54.73333333333334,142.9,138.46666666666667,75.03333333333333,153.96666666666667,204.83333333333337
84,255.8653073201445,50.43333333333334,132.66666666666669,131.43333333333334,71.5,175.16666666666666,205.63333333333335
85,259.10410867862737,36.53333333333333,138.50000000000003,126.6,76.83333333333334,191.36666666666667,204.03333333333336
86,262.3429100371102,41.46666666666667,100.16666666666667,121.26666666666668,70.13333333333334,177.5666666666667,198.36666666666665
87,265.581711395593,33.300000000000004,142.73333333333335,124.93333333333334,71.73333333333332,190.70000000000002,203.7666666666667
88,268.8205127540759,35.50000000000001,137.33333333333331,113.56666666666666,82.76666666666667,221.03333333333333,214.2
89,272.0593141125587,39.366666666666674,123.6,119.60000000000001,99.06666666666668,225.06666666666672,221.13333333333333
90,275.29811547104157,46.93333333333334,130.83333333333334,137.53333333333336,75.5,203.0666666666667,209.13333333333335
91,278.5369168295244,32.93333333333334,140.26666666666668,128.13333333333335,70.26666666666668,189.73333333333332,199.86666666666667
92,281.77571818800726,26.63333333333334,137.13333333333333,129.0666666666667,76.96666666666667,193.73333333333335,193.60000000000002
93,285.0145195464901,37.13333333333334,140.60000000000002,113.93333333333334,69.43333333333334,179.83333333333331,197.96666666666667
94,288.2533209049729,43.46666666666667,124.23333333333335,101.9,71.26666666666668,162.0,186.60000000000002
95,291.49212226345577,43.13333333333334,124.60000000000002,110.96666666666667,80.6,186.73333333333335,161.5
96,294.7309236219386,40.56666666666667,110.5,109.56666666666666,71.8,218.3666666666667,163.23333333333335
97,297.96972498042146,34.300000000000004,125.93333333333334,129.16666666666669,83.3,211.70000000000002,165.26666666666665
