,Abscissa,red_250319_2619+2621_0p5agarose_LB_OD0p5_still_mix50pc_10min_20X_002.tif,red_250326_2619+2621_2_0p5agarose_LB_OD0p5_still_mix50pc_10min_20X_004.tif,red_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_10min_20X003.tif,green_250319_2619+2621_0p5agarose_LB_OD0p5_still_mix50pc_10min_20X_002.tif,green_250326_2619+2621_2_0p5agarose_LB_OD0p5_still_mix50pc_10min_20X_004.tif,green_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_10min_20X003.tif
82,249.3877046031788,13.066666666666666,77.66666666666669,42.366666666666674,24.866666666666667,115.9,70.23333333333333
83,252.62650596166165,18.166666666666668,59.56666666666667,42.866666666666674,24.66666666666667,114.46666666666667,75.33333333333334
84,255.8653073201445,21.0,61.50000000000001,37.53333333333333,23.633333333333336,107.86666666666667,58.86666666666666
85,259.10410867862737,14.966666666666667,59.166666666666664,36.900000000000006,24.266666666666673,80.66666666666669,52.06666666666666
86,262.3429100371102,17.300000000000004,40.1,37.36666666666667,17.86666666666667,103.76666666666665,49.00000000000001
87,265.581711395593,12.5,51.900000000000006,43.2,22.933333333333337,95.93333333333334,38.56666666666667
88,268.8205127540759,12.46666666666667,46.633333333333326,30.833333333333332,11.600000000000001,95.00000000000003,47.500000000000014
89,272.0593141125587,14.433333333333334,56.800000000000004,16.066666666666663,22.86666666666667,108.7,49.933333333333344
90,275.29811547104157,22.1,66.03333333333333,25.766666666666666,32.06666666666667,106.60000000000001,54.733333333333334
91,278.5369168295244,19.0,52.96666666666666,32.833333333333336,42.0,99.73333333333335,49.26666666666668
92,281.77571818800726,17.333333333333336,40.66666666666668,34.266666666666666,26.133333333333333,82.13333333333335,59.03333333333333
93,285.0145195464901,9.266666666666666,44.733333333333334,32.93333333333334,31.43333333333333,91.23333333333333,52.900000000000006
94,288.2533209049729,21.26666666666667,49.50000000000001,33.366666666666674,31.500000000000004,84.63333333333334,44.0
95,291.49212226345577,16.433333333333337,43.733333333333334,41.5,21.666666666666664,74.6,34.00000000000001
96,294.7309236219386,7.466666666666667,52.06666666666668,36.43333333333333,20.066666666666666,72.93333333333334,44.63333333333334
97,297.96972498042146,13.100000000000001,44.76666666666667,34.93333333333333,25.466666666666665,87.46666666666667,40.63333333333334
98,301.2085263389043,23.700000000000006,44.2,37.00000000000001,26.100000000000005,93.80000000000001,40.80000000000001
99,304.44732769738715,12.833333333333336,52.23333333333334,30.06666666666667,18.200000000000003,88.96666666666668,38.56666666666666
100,307.68612905586997,13.966666666666667,58.63333333333333,28.866666666666667,27.800000000000004,78.4,37.43333333333334
101,310.9249304143528,12.200000000000003,47.166666666666664,25.03333333333333,18.333333333333336,82.96666666666667,34.400000000000006
102,314.16373177283566,11.566666666666668,48.96666666666667,25.9,20.76666666666667,68.60000000000001,42.66666666666667
103,317.4025331313185,13.36666666666667,57.56666666666666,39.766666666666666,11.233333333333334,75.13333333333334,38.36666666666666
104,320.64133448980135,14.433333333333334,51.43333333333334,36.233333333333334,14.733333333333334,86.9,36.16666666666668
105,323.88013584828417,20.76666666666667,38.46666666666667,36.86666666666667,17.1,80.93333333333334,38.7
106,327.11893720676704,26.8,51.7,24.700000000000003,15.033333333333335,88.23333333333333,59.13333333333334
107,330.35773856524986,16.533333333333335,51.8,28.333333333333336,21.533333333333335,74.33333333333334,43.033333333333346
108,333.5965399237327,10.5,56.53333333333333,25.9,22.16666666666667,74.86666666666667,48.0
109,336.83534128221555,9.266666666666667,52.13333333333334,27.266666666666673,25.766666666666666,88.66666666666666,47.20000000000001
110,340.07414264069837,18.16666666666667,42.800000000000004,21.8,29.833333333333336,56.66666666666668,44.56666666666667
111,343.31294399918124,14.899999999999999,49.16666666666667,24.933333333333334,30.500000000000007,70.46666666666665,37.53333333333334
112,346.55174535766406,16.666666666666668,46.366666666666674,28.633333333333333,22.333333333333336,53.6,34.3
113,349.79054671614693,14.000000000000004,42.6,23.8,25.1,70.56666666666668,28.366666666666667
