,Abscissa,red_250326_2619+2621_2_0p5agarose_LB_OD0p5_still_mix50pc_30min_20X_020.tif,red_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_30min_20X_024.tif,red_250404_2619+2621_5_0p5agarose_LB_OD0p5_Still_mix50pc_30min_20X_051.tif,red_250506_2619+2621_3_0p5Agarose_LB_OD0p5_Still_mix50pc_30min_20X038.tif,green_250326_2619+2621_2_0p5agarose_LB_OD0p5_still_mix50pc_30min_20X_020.tif,green_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_30min_20X_024.tif,green_250404_2619+2621_5_0p5agarose_LB_OD0p5_Still_mix50pc_30min_20X_051.tif,green_250506_2619+2621_3_0p5Agarose_LB_OD0p5_Still_mix50pc_30min_20X038.tif
78,236.43249916924745,100.7,92.5,113.46666666666667,152.86666666666667,184.60000000000002,176.33333333333334,121.86666666666667,184.33333333333331
79,239.6713005277303,89.26666666666668,91.0,113.73333333333335,134.4,189.66666666666666,162.53333333333336,108.26666666666668,187.76666666666668
80,242.91010188621314,98.43333333333334,101.9,106.9,124.43333333333334,188.03333333333333,164.33333333333334,99.36666666666667,183.16666666666669
81,246.148903244696,109.96666666666667,100.76666666666668,126.36666666666669,144.86666666666667,164.86666666666667,168.70000000000002,121.69999999999999,182.53333333333333
82,249.3877046031788,102.19999999999999,81.00000000000003,135.5,132.5,170.1,176.5666666666667,133.56666666666666,194.8333333333334
83,252.62650596166165,91.30000000000001,82.83333333333334,116.53333333333333,130.0,162.20000000000002,167.8,119.63333333333335,190.53333333333333
84,255.8653073201445,88.43333333333334,83.16666666666669,133.03333333333333,115.53333333333335,173.53333333333336,172.96666666666667,125.93333333333332,200.39999999999998
85,259.10410867862737,95.46666666666667,96.96666666666667,135.13333333333333,108.30000000000001,169.26666666666665,182.10000000000002,146.0,198.26666666666668
86,262.3429100371102,107.0,85.79999999999998,120.36666666666667,126.03333333333335,162.4,166.53333333333333,159.1,182.83333333333331
87,265.581711395593,99.33333333333333,91.9,121.23333333333332,109.8,161.10000000000002,166.5,152.63333333333333,182.30000000000004
88,268.8205127540759,92.66666666666666,80.36666666666665,116.83333333333334,104.20000000000002,163.1,172.73333333333335,131.06666666666666,187.53333333333336
89,272.0593141125587,77.39999999999999,86.06666666666669,119.06666666666668,117.23333333333335,171.83333333333334,177.16666666666666,113.10000000000001,172.13333333333333
90,275.29811547104157,74.00000000000001,94.30000000000001,106.86666666666667,113.06666666666666,181.86666666666667,182.23333333333335,121.30000000000001,176.4
91,278.5369168295244,84.06666666666666,94.33333333333334,97.6,115.26666666666665,171.8,184.73333333333338,105.16666666666667,172.86666666666667
92,281.77571818800726,84.6,110.9,95.86666666666667,112.96666666666665,176.43333333333334,181.39999999999998,116.13333333333334,188.50000000000003
93,285.0145195464901,82.33333333333333,105.03333333333333,107.96666666666668,107.06666666666668,173.4,191.3,110.73333333333335,180.13333333333333
94,288.2533209049729,75.10000000000001,93.23333333333335,103.36666666666667,124.13333333333334,185.53333333333333,188.63333333333333,109.73333333333333,192.06666666666666
95,291.49212226345577,72.13333333333334,91.2,112.5,126.43333333333334,160.8,173.8,106.33333333333333,209.53333333333333
96,294.7309236219386,87.03333333333333,84.13333333333335,93.00000000000001,119.03333333333333,151.9666666666667,165.53333333333336,106.93333333333334,202.83333333333334
97,297.96972498042146,68.96666666666667,82.16666666666667,93.8,96.06666666666668,167.03333333333336,184.50000000000003,103.1,169.56666666666666
98,301.2085263389043,87.06666666666666,90.06666666666666,92.16666666666666,91.63333333333334,188.26666666666665,169.5,105.63333333333334,179.36666666666667
99,304.44732769738715,79.43333333333332,82.00000000000001,100.23333333333333,95.8,204.6,172.53333333333336,104.03333333333333,175.23333333333332
100,307.68612905586997,82.13333333333334,97.83333333333334,102.8,121.9,195.16666666666666,182.56666666666666,108.2666666666667,190.83333333333334
101,310.9249304143528,68.3,99.69999999999999,94.53333333333333,111.40000000000002,184.73333333333335,154.36666666666667,99.43333333333332,189.70000000000002
102,314.16373177283566,81.66666666666666,95.7,86.36666666666667,111.13333333333334,154.33333333333334,150.93333333333334,103.66666666666669,175.26666666666668
103,317.4025331313185,67.26666666666667,86.03333333333335,87.76666666666668,96.93333333333332,150.9,162.8666666666667,104.90000000000002,156.06666666666666
104,320.64133448980135,69.4,67.46666666666668,91.86666666666667,108.53333333333335,155.7,167.16666666666669,107.26666666666665,145.23333333333335
105,323.88013584828417,83.33333333333334,75.43333333333334,100.4,107.23333333333333,191.73333333333335,159.56666666666666,109.7666666666667,146.7
