LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID212245,212245,4,718.0,20.926630152794896,25.24724947377319,0.0,25.0,5,0.9840217081884048,1,,702.4547983310154,706.0,0.0,806.0,505065.0,52.87790478723284,6198.408901251739,6053.0,5416.0,8055.0,4456656.0,499.06318893521285,202.20166898470097,207.0,119.0,290.0,145383.0,36.027685075759884,0.09114873053003918,2.2194267353499932,-0.03971723772391946,-1.0273882258894207,0.2329574954889043,2.120835367721436,0.005377786553140231,-0.029712175593409686,2.3378254555435305,0.4142940299270588,-1.27806314667117,5.642913695751617,3.042000152100004,9.815427970992312,0.39678076887324165,0.917782026768642,5.627682980177576
ID317586,317586,4,765.0,8.986129854282835,19.121725968239097,0.0,195.0,39,1.014306360190379,1,,494.17539267015707,498.0,0.0,528.0,377550.0,44.031956960717565,6091.473821989529,6051.0,5022.0,7822.0,4653886.0,418.5336044833611,194.7107329842932,203.0,110.0,284.0,148759.0,41.273010929406844,0.07225856013756726,1.5126306819050828,-0.026158024145823924,-0.7818770943299802,0.2155931907993675,1.6734028963150622,0.041741394548297846,-0.0032124344311511874,2.6336847918936956,0.4066057079753174,0.11603305777558914,6.477245007228405,3.23212516160626,10.433508762434574,0.373110322074743,0.8905704307334106,5.803450707451912
ID254104,254104,4,715.0,18.47796979715547,20.404309967036777,0.0,75.0,15,0.9785396504460464,1,,540.1300699300699,544.0,0.0,611.0,386193.0,45.52770116670227,6208.205594405595,6090.0,5437.0,8015.0,4438867.0,422.7257369833952,208.36083916083916,212.0,112.0,294.0,148978.0,33.70179207714019,0.04653644574263364,1.055094800529177,-0.0242335166858549,-0.7294708503463035,0.25358364970449926,2.5012726116252537,-0.00389876650104972,0.027688747116521247,2.443033419651621,0.41380061496336407,1.3875983891762416,5.90389025851959,3.008200150410005,9.850091688644516,0.3896153389151201,0.8866749688667498,5.67919667352302
ID256415,256415,4,713.0,18.28037828186819,20.621908472233144,0.0,80.0,16,0.9757870721369455,1,,548.8573446327683,552.0,0.0,598.0,388591.0,41.52960450868318,6222.86581920904,6139.0,5377.0,8175.0,4405789.0,453.87620867871175,207.40112994350284,210.0,114.0,286.0,146840.0,33.610172213662224,0.07254544012479539,1.787829502109544,-0.029543475616779,-0.8347732346868859,0.2508055118050666,2.4746721239792633,0.015863603568987385,0.06359286810260026,2.4415681715749495,0.39846146434128543,1.3591560029886949,6.127488829092208,2.991300149565004,10.000941976070512,0.3758270556288234,0.8894472361809032,5.782437018977659
ID360345,360345,4,757.0,14.774425903619175,18.112939976947622,0.0,275.0,55,1.008655584411008,1,,470.01192052980133,472.0,0.0,472.0,354859.0,29.75868668656772,6139.450331125828,6077.0,5412.0,7781.0,4635285.0,400.0558662701475,194.98145695364238,204.0,107.0,301.0,147211.0,41.06783771951841,0.071666517884689,2.1124271896024696,-0.02131407457245179,-0.6684393080284338,0.21698790921714065,1.6930537316750078,-0.016258156580752824,-0.02480141329271926,2.5166015088224367,0.4413999964252447,2.999881020918073,5.701408086097815,3.196212659810629,10.3030551240172,0.3783672029792576,0.891573364761343,5.7629942960988
ID344216,344216,4,758.0,11.453425600281317,18.76600454493763,0.0,250.0,50,1.0086555844110088,1,,492.72295514511876,494.0,0.0,511.0,373484.0,25.45386742098152,6175.031662269129,6135.0,5389.0,7470.0,4680674.0,349.90181532827245,195.26385224274406,205.0,108.0,287.0,148010.0,40.034021686637274,0.06149714587264944,2.242927022499871,-0.01158185694630225,-0.4135809025627118,0.21716870049214343,1.7404801926863487,-0.013586520916982793,0.0015631586963720154,2.6181767850171576,0.4069195859558408,0.16369562788379396,6.434138034587708,3.1962126598106333,10.249497136212094,0.3823317938893079,0.9333744602097473,5.733036737441086
ID299931,299931,4,739.0,9.741752884586704,18.5701965757406,0.0,150.0,30,0.9986056268207042,1,,500.8056680161943,502.0,0.0,556.0,371097.0,26.254266479387788,6184.686909581646,6147.0,5435.0,7832.0,4582853.0,354.8487712964096,203.44804318488528,210.0,120.0,282.0,150755.0,35.0511450571069,0.058507139148333935,2.108698132393766,-0.021413664890967146,-0.7627746720883013,0.24206680673975264,2.2624114390845067,0.008659179056126431,-0.010317361851576348,2.465326086497308,0.4203976290542522,0.28207485869254945,5.864272098877985,3.1328376566418834,10.116910160468736,0.3846378049403685,0.9048200122025638,5.715825323753903
ID347302,347302,4,735.0,11.016050951076952,18.692668260109514,0.0,235.0,47,0.9975950625947465,1,,488.34641407307174,491.0,0.0,503.0,360888.0,36.11599271147879,6202.204330175913,6199.0,5406.0,7746.0,4583429.0,348.53576827901327,199.0067658998647,207.0,114.0,286.0,147066.0,38.57539280124476,0.056303640310010464,1.4414717668336,-0.014838517787747377,-0.5360580346352235,0.22728422926349717,1.9107841454686019,-0.03228051287818446,-0.016052433970434175,2.587481262533013,0.4028758285062016,0.280175527412681,6.422527934046018,3.1265001563250054,10.168531187313809,0.3799722397524715,0.9396825396825391,5.750809713252846
ID304801,304801,4,722.0,9.345934191547903,18.91351944114694,0.0,175.0,35,0.9843633230947869,1,,512.3005540166205,514.0,0.0,535.0,369881.0,27.290439201571452,6176.087257617729,6167.0,5484.0,7753.0,4459135.0,332.786715364959,200.8240997229917,206.0,108.0,285.0,144995.0,36.90570998495368,0.06045581878854476,2.14037477537899,-0.021673809260522123,-0.8222975656532329,0.23115073987309315,2.0433196769889137,0.024294140176108446,0.015161791188556399,2.4026274603052076,0.425290521654593,0.4441412975198586,5.649379278329045,3.0441126522056314,10.204484227537613,0.36735712426683176,0.8813455657492365,5.848718223829751
ID346400,346400,4,731.0,10.379274012045077,18.532575651284304,0.0,230.0,46,0.9918490835577134,1,,485.5917808219178,487.0,0.0,504.0,354482.0,25.524413410535274,6169.119178082192,6129.0,5458.0,7251.0,4503457.0,349.8003440559423,199.79041095890412,206.0,116.0,288.0,145847.0,38.747484238467756,0.04661898118816222,1.6948049518305208,-0.013771465012289597,-0.4925331915216192,0.22639214815632258,1.9036763941414685,0.02737588587981743,0.01875916434175564,2.4995934557941335,0.4121709207661908,0.2576953520129073,6.064458528873414,3.090587654529381,10.180805880531258,0.374702521824409,0.9166666666666684,5.791107462956338
