cellID,radius,nematic_correlation,n_neighbors
131,2.2187136470427,0.7183219528151449,1
133,2.2187136470427,-0.3024003028269343,2
135,2.2187136470427,0.9467539823854878,1
137,2.2187136470427,-0.745218583219108,1
138,2.2187136470427,0.753893965052013,1
139,2.2187136470427,-0.9245706375077755,1
140,2.2187136470427,0.9467539823854878,1
141,2.2187136470427,-0.9245706375077755,1
145,2.2187136470427,0.5733462285149442,1
149,2.2187136470427,0.753893965052013,1
150,2.2187136470427,-0.7798956311606606,1
154,2.2187136470427,-0.745218583219108,1
155,2.2187136470427,0.9468174288043335,1
156,2.2187136470427,0.5733462285149442,1
157,2.2187136470427,0.9468174288043335,1
158,2.2187136470427,0.4788291577864879,1
164,2.2187136470427,-0.7798956311606606,1
167,2.2187136470427,0.48948316600429104,1
170,2.2187136470427,0.48415616189538946,2
175,2.2187136470427,0.9955208318455144,1
183,2.2187136470427,0.9955208318455144,1
190,2.2187136470427,0.13831511717331693,1
191,2.2187136470427,0.24077339156495128,1
192,2.2187136470427,0.9683717297930496,1
194,2.2187136470427,0.24077339156495128,1
195,2.2187136470427,0.13831511717331693,1
199,2.2187136470427,0.9923145386109535,1
204,2.2187136470427,0.8535896610837016,3
207,2.2187136470427,0.7961986267290277,1
212,2.2187136470427,0.8161350844277669,1
213,2.2187136470427,0.9164779043074628,2
214,2.2187136470427,0.9472453588498773,1
218,2.2187136470427,-0.09508891189557063,1
219,2.2187136470427,0.8942565826699906,2
223,2.2187136470427,0.9857994897977439,1
224,2.2187136470427,0.8857104497650483,1
226,2.2187136470427,0.8161350844277669,1
228,2.2187136470427,0.9857994897977439,1
233,2.2187136470427,0.8273491562042693,1
234,2.2187136470427,-0.09508891189557063,1
236,2.2187136470427,0.7722397476340694,1
241,2.2187136470427,0.8273491562042693,1
243,2.2187136470427,0.9423797781111883,1
244,2.2187136470427,-0.11274519553983792,2
246,2.2187136470427,-0.9977301387137453,1
252,2.2187136470427,0.9423797781111883,1
256,2.2187136470427,0.9459459459459459,1
257,2.2187136470427,0.9996656326045362,1
263,2.2187136470427,0.6174827644700844,2
265,2.2187136470427,0.9996656326045362,1
266,2.2187136470427,0.9459459459459459,1
268,2.2187136470427,0.5460365943354885,2
272,2.2187136470427,0.8959060784311185,2
273,2.2187136470427,0.17404913719289822,2
277,2.2187136470427,0.8764405910082145,2
280,2.2187136470427,0.3130567077556045,3
291,2.2187136470427,-0.6093124377615134,1
293,2.2187136470427,0.45569336335014154,1
294,2.2187136470427,0.45569336335014154,1
296,2.2187136470427,-0.09338525229721682,1
301,2.2187136470427,0.6226076310956951,1
302,2.2187136470427,0.6813071386889711,1
303,2.2187136470427,-0.09338525229721682,1
304,2.2187136470427,0.6226076310956951,1
305,2.2187136470427,0.6813071386889711,1
311,2.2187136470427,-0.9262278352740272,1
314,2.2187136470427,0.9816004434065984,1
315,2.2187136470427,-0.9262278352740272,1
321,2.2187136470427,0.9423878181109678,1
322,2.2187136470427,0.6425295563157871,1
326,2.2187136470427,0.9816004434065984,1
334,2.2187136470427,0.9935263744665659,1
335,2.2187136470427,0.11266840829803576,2
336,2.2187136470427,0.6425295563157871,1
341,2.2187136470427,0.9975283732660782,1
342,2.2187136470427,0.5310193302267482,2
347,2.2187136470427,-0.010694881326852297,1
348,2.2187136470427,0.6052357303917675,2
349,2.2187136470427,0.9935263744665659,1
351,2.2187136470427,0.8043820637042173,1
352,2.2187136470427,0.14043499820305078,2
354,2.2187136470427,0.9975283732660782,1
355,2.2187136470427,0.9528148640342559,1
356,2.2187136470427,0.9101771700778418,2
357,2.2187136470427,0.9979209979209979,1
358,2.2187136470427,0.21693610980417583,2
359,2.2187136470427,-0.010694881326852297,1
360,2.2187136470427,0.9490715044251266,1
367,2.2187136470427,0.7512875141820223,1
368,2.2187136470427,0.7463449502730763,1
369,2.2187136470427,0.8712828357305572,1
371,2.2187136470427,0.8708369920142365,2
372,2.2187136470427,-0.3124727306647247,1
378,2.2187136470427,0.9903864698464506,1
382,2.2187136470427,0.9885716099515436,1
386,2.2187136470427,0.9885716099515436,1
389,2.2187136470427,0.719349795472555,1
392,2.2187136470427,0.10939742825792009,2
393,2.2187136470427,0.9681462275933949,1
395,2.2187136470427,0.9681462275933949,1
403,2.2187136470427,0.6758619105588348,1
404,2.2187136470427,0.6758619105588348,1
410,2.2187136470427,-0.5005549389567148,1
421,2.2187136470427,0.5236947291475497,1
422,2.2187136470427,0.15421108660085578,1
424,2.2187136470427,0.15421108660085578,1
425,2.2187136470427,0.008006276818462625,1
426,2.2187136470427,0.3950480463049221,1
428,2.2187136470427,0.008006276818462625,1
430,2.2187136470427,-0.45177050924507917,1
436,2.2187136470427,0.7574225858127128,2
439,2.2187136470427,-0.8282605083560176,1
440,2.2187136470427,-0.21660623102554777,2
442,2.2187136470427,-0.45177050924507917,1
446,2.2187136470427,0.9911504424778761,1
447,2.2187136470427,0.98830722460422,1
450,2.2187136470427,0.98830722460422,1
462,2.2187136470427,0.6840428955195339,1
466,2.2187136470427,0.6840428955195339,1
479,2.2187136470427,0.9268390845531488,1
483,2.2187136470427,0.9268390845531488,1
488,2.2187136470427,-0.7533488429637785,1
489,2.2187136470427,0.8856392754003675,1
490,2.2187136470427,-0.7533488429637785,1
492,2.2187136470427,0.8281059858504215,1
498,2.2187136470427,0.8856392754003675,1
499,2.2187136470427,-0.02735466198656171,1
502,2.2187136470427,-0.02735466198656171,1
503,2.2187136470427,0.5091263045946973,1
504,2.2187136470427,0.8281059858504215,1
510,2.2187136470427,0.8457498494278258,1
511,2.2187136470427,0.5091263045946973,1
521,2.2187136470427,0.8457498494278258,1
538,2.2187136470427,0.9753042298471334,1
540,2.2187136470427,0.9753042298471334,1
542,2.2187136470427,0.7088381972582136,1
545,2.2187136470427,-0.7001618049959708,1
546,2.2187136470427,-0.7001618049959708,1
548,2.2187136470427,0.7838924793770699,1
549,2.2187136470427,0.9994383775351015,1
551,2.2187136470427,0.7838924793770699,1
554,2.2187136470427,0.7088381972582136,1
560,2.2187136470427,0.9994383775351015,1
578,2.2187136470427,0.2618385690130824,1
580,2.2187136470427,0.6882236682932343,1
589,2.2187136470427,0.6882236682932343,1
590,2.2187136470427,0.9221122816151556,1
591,2.2187136470427,0.49509477618581477,2
597,2.2187136470427,0.7283509833585472,1
598,2.2187136470427,-0.4439723820874234,1
600,2.2187136470427,0.9221122816151556,1
603,2.2187136470427,0.8590394377196406,1
606,2.2187136470427,-0.7008343765045998,2
608,2.2187136470427,0.8590394377196406,1
609,2.2187136470427,-0.9576963709217762,1
13,2.5429882555748367,-0.19054598754122365,1
23,2.5429882555748367,0.9983808257745036,1
24,2.5429882555748367,-0.19054598754122365,1
27,2.5429882555748367,0.36987158343534793,1
29,2.5429882555748367,0.6431839965907663,1
31,2.5429882555748367,0.9983808257745036,1
32,2.5429882555748367,0.5550883095037843,1
35,2.5429882555748367,0.9802547268798654,1
38,2.5429882555748367,0.5550883095037843,1
41,2.5429882555748367,0.6440642087813676,2
42,2.5429882555748367,0.8898065133358424,1
43,2.5429882555748367,0.6376523450702826,1
45,2.5429882555748367,0.7664952549633044,2
46,2.5429882555748367,0.9552012289626964,2
47,2.5429882555748367,0.9921456237980056,1
48,2.5429882555748367,0.9802547268798654,1
51,2.5429882555748367,0.39062068965517277,1
54,2.5429882555748367,0.6134393450118194,2
55,2.5429882555748367,0.1525752223071664,2
57,2.5429882555748367,0.9868690384802267,1
58,2.5429882555748367,0.8413341154539598,1
60,2.5429882555748367,0.715280230203658,2
61,2.5429882555748367,0.6514702380998544,1
62,2.5429882555748367,0.6514702380998544,1
63,2.5429882555748367,0.5709867207828767,1
64,2.5429882555748367,-0.119831827844026,2
65,2.5429882555748367,0.9868690384802267,1
66,2.5429882555748367,-0.15419341064721204,1
71,2.5429882555748367,0.5709867207828767,1
72,2.5429882555748367,-0.1322468524738722,1
76,2.5429882555748367,0.532257617178916,1
77,2.5429882555748367,-0.1322468524738722,1
78,2.5429882555748367,0.8075780933062882,1
81,2.5429882555748367,0.8075780933062882,1
83,2.5429882555748367,0.7481257876151153,2
86,2.5429882555748367,-0.976626169938726,1
93,2.5429882555748367,-0.05985404597014954,2
94,2.5429882555748367,0.801450903940333,2
101,2.5429882555748367,0.8569180779984269,1
102,2.5429882555748367,-0.8414841336398122,1
103,2.5429882555748367,-0.9189809052207526,1
105,2.5429882555748367,0.6389078498293514,1
108,2.5429882555748367,-0.8414841336398122,1
113,2.5429882555748367,-0.9189809052207526,1
114,2.5429882555748367,0.8101803126770633,2
116,2.5429882555748367,0.8406497058383828,1
123,2.5429882555748367,0.7797109195157437,1
126,2.5429882555748367,-0.7290806754221386,1
127,2.5429882555748367,-0.6242518885052822,1
129,2.5429882555748367,-0.6242518885052822,1
130,2.5429882555748367,0.12428006976827002,1
