WT,pilH,pilG
,0.4652793133525676,
,0.31706201703634174,
,0.7760990155608627,
,0.16295311105523438,
,0.4512389801514163,
,0.8929302135673868,
,0.9765305983746252,
,0.8898723629352159,
,0.18077169070626256,
,0.016813433709248652,
,0.4350130506806151,
,0.3292480537187092,
,0.12586499226270934,
,0.08711689357435912,
,0.27178021011600656,
