LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEDIAN_INTENSITY_CH4,MIN_INTENSITY_CH4,MAX_INTENSITY_CH4,TOTAL_INTENSITY_CH4,STD_INTENSITY_CH4,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,CONTRAST_CH4,SNR_CH4,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Mean intensity ch4,Median intensity ch4,Min intensity ch4,Max intensity ch4,Sum intensity ch4,Std intensity ch4,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Contrast ch4,Signal/Noise ratio ch4,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Mean ch4,Median ch4,Min ch4,Max ch4,Sum ch4,Std ch4,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,Ctrst ch4,SNR ch4,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,(µm),(µm),(µm),(µm),(radians),,(µm^2),(µm),,,
ID94994,94994,2,491.0,71.42141887521441,33.015304547886906,0.0,100.0,20,0.8138447168606369,1,,1432.0714285714287,1435.0,0.0,1435.0,701715.0,64.82669203345226,6719.628571428571,6573.0,5651.0,8920.0,3292618.0,665.4607494044669,200.95714285714286,213.0,109.0,296.0,98469.0,47.55279274826569,254.4795918367347,255.0,0.0,255.0,124695.0,11.519725762041924,0.3152812610182727,10.590594528464718,-0.07663610778106061,-1.676151889011192,0.23721062374232568,1.6204958014026976,0.31493977806808665,10.581871137372,-0.00678764103110057,-6.097087736500026E-4,1.5882703539470744,0.42614286900919496,0.205506171673543,3.7270841998128192,2.0808126040406303,6.791110827730653,0.5669714596818571,0.9416826003824113,4.707868602383664
ID91286,91286,2,479.0,71.83651575751456,32.95276609432339,0.0,105.0,21,0.8013553101567542,1,,1408.1827731092437,1423.0,0.0,1454.0,670295.0,145.2552098802165,7063.951680672269,6903.0,5870.0,9269.0,3362441.0,706.9598006715734,201.30882352941177,208.0,107.0,310.0,95823.0,51.00694695598723,252.32142857142858,255.0,0.0,255.0,120105.0,26.024677415608718,0.16294203083190842,2.716641697845623,-0.040858484751566504,-0.8512998627700196,0.23178670964784953,1.4853079087522891,0.1580056258090639,2.6458222027295646,-0.010736569857740451,0.005372961315304783,1.5772730228311527,0.4385478743523377,0.43854618522607414,3.5965811604047166,2.01743760087188,6.751277486932589,0.5562090590686962,0.9335288367546434,4.753197970351948
ID104345,104345,2,480.0,70.8576521736768,32.22421119385181,0.0,80.0,16,0.8005157548606133,1,,1358.0545073375263,1361.0,0.0,1415.0,647792.0,62.5223083348279,6746.70859538784,6594.0,5879.0,8601.0,3218180.0,564.6942440601848,213.48427672955975,220.0,127.0,317.0,101832.0,41.06674041393818,254.46540880503144,255.0,0.0,255.0,121380.0,11.67564793563846,0.2366632620181703,8.313646996385808,-0.0717234229874062,-1.8462572043956398,0.2711542325615938,2.217807241250186,0.22845036746267763,8.106100899523863,0.0033277465442884454,0.005978773166864738,1.5639930920672351,0.4319661661049612,0.5488122182499502,3.620637945257983,2.0132126006606272,6.870871674689724,0.5358902174248538,0.9024621212121215,4.842470876076945
ID18335,18335,2,457.0,75.62309751899146,34.03074493091373,0.0,35.0,7,0.7843934895121426,1,,1433.527352297593,1443.0,0.0,1443.0,655122.0,116.65795620456161,7058.2647702407,6854.0,5921.0,9390.0,3225627.0,655.0597651902111,214.53172866520788,222.0,117.0,309.0,98041.0,42.54352234730559,253.32603938730853,255.0,0.0,255.0,115770.0,20.615231345920346,0.24996871497255113,4.914825810169263,-0.06697567601255987,-1.546931759635897,0.2714044281041068,2.1528872876251626,0.2534367756850192,4.969226791219043,0.004659216514463536,0.004143155942007266,1.541314662405408,0.40620531801056026,0.23671580277669713,3.7944226578671674,1.9329375966468723,6.619950043883877,0.5542660439068205,0.9261133603238846,4.761522001780942
ID264731,264731,2,486.0,76.38982705474201,37.63430237381295,0.0,265.0,53,0.8105330257407717,1,,1638.155419222904,1655.0,0.0,1674.0,801058.0,166.68502610166894,6973.8875255623725,6829.0,5817.0,9247.0,3410231.0,579.5316700456264,189.99591002044988,189.0,105.0,305.0,92908.0,55.650732983478676,252.3926380368098,255.0,0.0,255.0,123420.0,25.679320214407202,0.18366069323511397,3.0498431489605102,-0.05328120994131507,-1.3545057156055857,0.19284754364166531,1.1039071082668463,0.18370332114386628,3.050684514532889,-0.0077236401507066645,-4.171260509564788E-4,1.5690008995911866,0.4497458398063239,0.4364983813384307,3.4886390505954488,2.0639126031956248,6.7779382119192775,0.5645546074800143,0.9457889641819935,4.717935007768806
ID95136,95136,2,458.0,72.20340990136026,32.96588156812718,0.0,115.0,23,0.7839647420138568,1,,1408.9276315789473,1415.0,0.0,1440.0,642471.0,93.70114535805313,7001.5942982456145,6864.0,5951.0,9055.0,3192727.0,579.2014926692401,215.71929824561403,220.0,128.0,305.0,98368.0,41.69328272709411,253.8815789473684,255.0,0.0,255.0,115770.0,16.86921933635147,0.1529598865313563,3.989671493631985,-0.036530631059068064,-0.9166774084154362,0.2725554035913429,2.216312525978985,0.1497986438831177,3.9215006462220474,-0.05254160564953686,-0.02080355779609552,1.5685200691306282,0.41245817954264624,0.38574326476787657,3.8028584397814096,1.9308250965412534,6.622020235768507,0.553314169557583,0.9471502590673591,4.765615899339785
ID94501,94501,2,462.0,70.9008444376919,31.896791577560265,0.0,75.0,15,0.7749062483223214,1,,1344.8834080717488,1348.0,0.0,1385.0,599818.0,64.03443485879097,6982.903587443946,6926.0,6055.0,8373.0,3114375.0,486.3782613929622,218.42600896860986,223.0,128.0,307.0,97418.0,40.77306497715593,254.42825112107624,255.0,0.0,255.0,113475.0,12.074599957164578,0.11320895195111504,4.2717431350258055,-0.03294777202524428,-0.9782908869815645,0.27599734260307823,2.317480654546508,0.10880844396494545,4.135505972218246,0.023090991503780214,0.005197763296955221,1.5305094509650163,0.4085341429700664,0.5147563194554943,3.746344038317399,1.8864625943231337,6.469630163917398,0.5663685800135887,0.9727668845315925,4.710373617184081
ID320684,320684,2,479.0,76.48095502632697,37.57358239039953,0.0,290.0,58,0.8092876477569241,1,,1630.0948453608248,1647.0,0.0,1656.0,790596.0,166.5446335152021,6964.767010309279,6816.0,5747.0,9004.0,3377912.0,628.4972873702368,207.6762886597938,216.0,113.0,292.0,100723.0,42.518789655878045,252.37113402061857,255.0,0.0,255.0,122400.0,25.784116285747654,0.1473459916625997,2.513947187180154,-0.04384829658016493,-1.0163870061872708,0.25268219592568847,1.9704696670531046,0.14808217941246485,2.5249178081585955,0.012355735656250224,-0.002659170314058407,1.5224866128566268,0.45951783703930654,0.5228528697854358,3.313226364978723,2.0575751028787463,6.773750765720601,0.5635171450301436,0.9276190476190476,4.7222759845162905
ID18986,18986,2,478.0,76.02283874267413,34.53253945980408,0.0,15.0,3,0.7992547683783339,1,,1444.0943396226414,1453.0,0.0,1540.0,688833.0,115.1043804216955,6926.993710691824,6774.0,6029.0,9173.0,3304176.0,595.0081155105256,200.1740041928721,211.0,109.0,317.0,95483.0,53.57266638223728,253.39622641509433,255.0,0.0,255.0,120870.0,20.18028580843127,0.13182643288870077,2.9225125052424183,-0.04185223235949271,-1.0170400034619258,0.22883181911632441,1.3916126719078983,0.13669919559217597,3.020113274992099,0.004250161161083744,-0.0028772214595172685,1.5258764953323387,0.42494537772244995,0.623703342796588,3.5907591312334595,2.0068751003437546,6.7167508272604515,0.5589999044889169,0.9405940594059392,4.741317789964465
ID256942,256942,2,485.0,73.79766748701516,36.92819252156393,0.0,245.0,49,0.8101181124677485,1,,1595.7864476386037,1619.0,0.0,1671.0,777148.0,192.95191084376387,6947.227926078029,6833.0,5704.0,9134.0,3383300.0,667.2942134354032,208.8069815195072,213.0,124.0,301.0,101689.0,41.184865179849425,251.3347022587269,255.0,0.0,255.0,122400.0,30.382758658950237,0.21135476903748066,2.8860003711249083,-0.06084363246536083,-1.3489672660920113,0.25807083267883,2.080037629363448,0.21167755272477948,2.890300459264872,-0.010544707975687077,9.203506303098195E-4,1.6295015991264767,0.42627535133471145,0.30141046377326736,3.822650298743152,2.0618001030900057,6.894873224955742,0.5450092213977002,0.9429951690821247,4.8017882744933935
