LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID31990,31990,57,457.0,24.85037957437037,99.93724259295412,0.0,170.0,34,0.7852502822192474,1,,683.9934354485777,687.0,0.0,687.0,312585.0,45.39802000054691,7528.3391684901535,7329.0,6717.0,9080.0,3440451.0,508.6691321755768,263.41356673960615,270.0,144.0,394.0,120380.0,55.46946441247302,0.7001322493853968,12.40916029293585,-0.09545033733845404,-3.123480796086065,0.2627770936342834,1.9764005753484446,-0.012418611093091569,0.016952771845794266,1.3561913370617145,0.47704392543282936,0.9832072611940658,2.842906627164828,1.9371625968581299,6.274467168441356,0.6183327317374138,0.9652631578947349,4.508102829001733
ID30327,30327,57,444.0,26.38860627027619,100.49118238026702,0.0,145.0,29,0.7818174776633807,1,,685.7929515418502,695.0,0.0,695.0,311350.0,79.45404960588672,7640.605726872247,7441.0,6871.0,9516.0,3468835.0,546.9095280240693,262.09030837004406,269.0,131.0,383.0,118989.0,57.76207761203903,0.45683502218484806,5.413223930399325,-0.07809994513141902,-2.367059548722285,0.2583848523033673,1.8633383379911004,0.00942110611645528,-0.017384295782274777,1.3630083691145196,0.49915026435863424,0.4984217054702893,2.7306574120838536,1.9202625960131328,6.135139196950326,0.6410939009965215,0.9891186071817224,4.427352582190869
ID9593,9593,57,444.0,26.758149970581787,101.49178528551994,0.0,10.0,2,0.7705552524038256,1,,678.8173515981736,682.0,0.0,682.0,297322.0,46.03529111184674,7769.931506849315,7608.0,7062.0,9085.0,3403230.0,460.615273390453,256.10730593607303,270.0,118.0,365.0,112175.0,63.90095232870072,0.6642296710654063,11.77055789422137,-0.0931244752761698,-3.4643759036011694,0.2411589725456152,1.5574734299590554,-0.02114884366735161,-0.007472297496295884,1.3817847462649515,0.45899892320745017,0.7607101317805639,3.0104313461328904,1.86533759326687,6.1205771876408495,0.6257236189011901,0.9566630552546023,4.481399463301931
ID52731,52731,57,456.0,28.90071748026226,95.04033844159174,0.0,295.0,59,0.7843934895121429,1,,672.0526315789474,678.0,0.0,678.0,306456.0,63.29082944598512,7411.31798245614,7305.0,6797.0,8611.0,3379561.0,374.15152038097216,258.2609649122807,267.0,123.0,410.0,117767.0,62.15107338946368,0.9842468102422988,10.534182051846535,-0.0904856917611052,-3.941379956027851,0.3385694778599823,2.1020692400953607,-0.01018569958928238,0.005380312188529268,1.4113522645092034,0.4537854966465919,2.1774166226859304,3.1101749062913844,1.9329375966468738,6.265401640844569,0.6187708761580388,0.9511434511434491,4.506506478917943
ID29181,29181,57,454.0,25.15324096032566,100.37071613727228,0.0,180.0,36,0.7800954106435891,1,,689.52,702.0,0.0,702.0,310284.0,92.8675124976725,7585.446666666667,7409.0,6779.0,9510.0,3413451.0,533.5649429771083,263.27555555555557,267.0,137.0,391.0,118474.0,57.705338424211774,0.5704955523870631,5.394219350438558,-0.0867606556897249,-2.7012332043935015,0.26757971986577445,1.926204768409133,-0.019193114375759542,-0.02932219353734577,1.4098362074455142,0.44978469222720857,0.8824485723773507,3.1344690733346168,1.9118125955906269,6.183108661026191,0.6284075944952725,0.9417273673257034,4.47181902738907
ID46206,46206,57,445.0,22.711407579408636,96.7699527379592,0.0,265.0,53,0.773168788180328,1,,680.7174887892377,690.0,0.0,690.0,303600.0,79.57994219068506,7490.993273542601,7356.0,6653.0,8972.0,3340983.0,506.2094893872143,247.62331838565024,257.0,126.0,363.0,110440.0,64.00640272552776,0.6681264103183175,6.852088535542835,-0.08448359703399173,-2.731148956894978,0.204568458388129,1.3140300606212716,-0.01764772682047197,-0.00499787088707715,1.4203693487624676,0.4392044476458343,0.2697044461323439,3.2339593926603976,1.8780125939006358,6.128583751168739,0.6283304595975183,0.9652551574375723,4.472093502955778
ID47874,47874,58,769.0,18.360249376755135,41.7463776670362,0.0,245.0,49,1.017615688265713,1,,328.6865284974093,333.0,0.0,333.0,253746.0,37.677829800703435,7722.445595854922,7620.0,6830.0,9410.0,5961728.0,465.8584098158394,287.6360103626943,306.0,122.0,445.0,222055.0,75.05443522947847,0.9468630560023694,8.485506845283213,-0.0823852386397432,-2.9765962199144154,0.36350302968125636,2.043378494075193,0.027874893615913447,0.020425957604677386,2.467200389748583,0.444467935434082,0.539846266732255,5.550907485236329,3.253250162662505,10.046810146541477,0.4050148370339315,0.9005847953216362,5.570183024812544
ID50691,50691,58,786.0,18.042535662330636,41.6698697997487,0.0,285.0,57,1.0248585959558352,1,,332.8553137003841,335.0,0.0,335.0,259960.0,26.735471742470896,7583.820742637644,7470.0,6894.0,9025.0,5922964.0,411.00969622346406,291.3405889884763,310.0,130.0,441.0,227537.0,73.34894999798217,0.8168621604171252,11.19500874546928,-0.08842194473120996,-3.579580948397481,0.36953021327009344,2.143460197035831,-0.02431573528264326,6.511880847409345E-4,2.4684570815998494,0.4331524998356023,0.15145381284995363,5.698817581652471,3.299725164986258,9.881840662227324,0.4246312372062302,0.9253554502369653,5.440000786359775
ID32134,32134,58,784.0,19.80697261096819,42.35493081621648,0.0,200.0,40,1.0261699958473274,1,,331.15089514066494,332.0,0.0,332.0,258960.0,16.779209224330312,7670.704603580562,7536.0,6936.0,9110.0,5998491.0,430.32415909334503,296.039641943734,311.0,133.0,455.0,231503.0,71.75873443781927,0.9923695654295127,19.66020206655397,-0.088052055548911,-3.442222789536559,0.38187811497093954,2.280132718204082,-0.015476161984193328,-0.007609281982266411,2.4388104495642975,0.44498073914186037,0.1494007001496596,5.480710140999613,3.3081751654087554,9.796312509478913,0.43318469011325633,0.9238938053097341,5.386025217452257
ID16523,16523,58,807.0,20.81365293669804,42.051900059971416,0.0,115.0,23,1.0417780399154961,1,,317.2178217821782,322.0,0.0,322.0,256312.0,38.97270775361156,7807.96905940594,7627.0,7051.0,9516.0,6308839.0,532.8256841578182,291.0049504950495,308.0,128.0,436.0,235132.0,76.43670576270148,0.9925700086642364,8.10913541438584,-0.09028693522290293,-2.9087299818974683,0.37727993029403323,2.0857867066605134,-0.015143512015828932,-0.013301625780839545,2.480703088947773,0.4705938011739143,0.200868778150819,5.271431716184029,3.4095751704787602,9.81151719275446,0.44507970890648135,0.9455184534270634,5.313565449508618
