IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
141,0,414,414.81,35,34.96,123.1,635,675.0,0.94,53.76,47.04,11.31,11.94,4.75,3.94,2.33,133.49,133.88,2879,5694,3744.89
142,0,685,685.28,31,31.35,97.15,464,494.0,0.94,39.66,35.35,11.66,11.5,3.4,3.08,0.98,56.31,59.33,2663,5127,3460.29
143,0,780,780.39,28,28.1,77.5,325,348.0,0.93,31.38,27.25,10.3,10.35,3.05,2.63,2.11,120.65,122.3,3172,5210,3775.76
144,0,1213,1213.25,29,29.67,85.01,382,410.0,0.93,34.54,29.92,11.7,11.1,2.95,2.7,1.18,67.89,66.71,2791,5588,3650.87
145,0,1321,1321.99,28,28.02,99.05,460,490.0,0.94,41.4,36.82,10.0,11.03,4.14,3.34,2.49,142.85,144.83,2995,5517,3889.97
146,0,1358,1358.3,21,21.12,92.87,434,472.0,0.92,37.66,33.9,11.18,11.4,3.37,2.97,2.95,169.29,172.82,2814,5463,3662.99
147,0,1477,1476.98,22,22.5,70.87,307,327.0,0.94,26.93,23.69,11.7,11.25,2.3,2.11,2.76,158.2,164.94,2776,5205,3618.24
148,0,1700,1700.15,29,29.36,75.11,314,335.0,0.94,29.53,25.9,11.66,10.55,2.53,2.45,2.06,118.3,111.09,3026,5011,3712.76
149,0,1841,1841.8,24,24.06,85.11,364,398.0,0.91,34.21,30.68,10.2,10.45,3.35,2.94,0.27,15.26,12.33,2937,5246,3711.89
151,0,303,303.25,37,37.56,105.25,535,567.0,0.94,44.01,38.63,11.7,12.09,3.76,3.2,1.94,111.32,109.13,2598,5087,3470.45
152,0,982,982.3,29,29.42,80.91,373,390.0,0.96,32.65,28.11,11.4,11.43,2.86,2.46,0.7,40.03,44.7,2757,5653,3786.54
153,0,1007,1007.32,34,34.54,92.77,414,443.0,0.93,37.95,33.74,10.77,10.8,3.52,3.12,1.89,108.43,107.0,3036,5370,3790.23
154,0,1556,1556.64,31,31.66,86.81,376,398.0,0.94,36.4,32.53,10.0,10.07,3.64,3.23,0.65,37.18,41.01,3122,5397,3925.18
155,0,1675,1675.89,31,31.27,72.18,287,307.0,0.93,28.65,25.14,10.3,10.07,2.78,2.5,2.08,119.25,118.19,3138,5794,3838.6
156,0,1936,1936.08,38,38.64,114.12,521,578.0,0.9,48.26,43.27,9.43,10.95,5.12,3.95,0.98,55.98,56.05,2942,5527,3758.64
157,0,1889,1889.86,34,34.5,84.43,367,395.0,0.93,33.62,29.47,11.18,10.75,3.01,2.74,1.17,67.25,65.66,2965,5261,3631.25
158,0,1909,1909.32,44,44.81,129.64,579,640.0,0.9,55.95,50.3,9.85,10.36,5.68,4.86,1.15,65.73,66.85,2961,5668,3780.96
159,0,427,427.72,28,28.08,54.28,231,241.0,0.96,18.03,14.82,15.81,13.31,1.14,1.11,2.8,160.56,156.05,2919,5759,4158.76
160,0,1063,1063.77,36,36.51,130.37,616,685.0,0.9,56.3,50.14,9.43,11.19,5.97,4.48,0.58,33.41,31.13,2883,5633,3865.21
161,0,1198,1198.09,35,35.58,79.7,350,372.0,0.94,31.78,27.64,11.18,10.95,2.84,2.52,1.35,77.28,79.53,2911,5329,3743.63
162,0,1898,1898.72,42,42.12,113.74,494,543.0,0.91,47.93,43.29,8.54,10.2,5.61,4.24,1.16,66.64,66.37,3072,5215,3681.6
163,0,1988,1988.03,40,40.62,107.98,483,526.0,0.92,46.14,41.07,10.3,10.49,4.48,3.91,1.05,60.1,61.18,3068,5308,3873.23
164,0,264,264.2,41,41.81,101.01,482,516.0,0.93,42.2,37.16,11.18,11.36,3.77,3.27,1.81,103.71,104.77,2731,5019,3549.97
165,0,373,373.55,36,36.26,76.63,333,349.0,0.95,31.58,27.78,11.18,10.4,2.82,2.67,1.38,79.05,84.83,3001,5461,3763.48
166,0,635,635.07,36,36.91,82.77,364,387.0,0.94,33.24,29.48,11.7,10.74,2.84,2.75,1.94,111.16,109.54,2814,5284,3596.76
167,0,1047,1047.05,28,28.82,103.36,496,535.0,0.93,42.58,37.75,11.18,11.48,3.81,3.29,0.17,9.46,11.45,2979,5637,3819.33
168,0,1275,1275.52,30,30.38,133.6,664,769.0,0.86,57.07,51.06,11.18,12.59,5.1,4.06,2.95,168.89,171.73,2883,5364,3654.21
169,0,1576,1576.16,40,40.44,93.94,422,456.0,0.93,38.21,33.49,11.18,10.94,3.42,3.06,1.68,96.01,93.3,3074,5768,3894.47
170,0,1593,1593.37,45,45.2,122.47,560,601.0,0.93,52.33,46.52,10.77,10.61,4.86,4.38,1.12,63.92,64.51,3072,5793,3776.91
171,0,569,569.92,30,29.52,166.77,834,1010.0,0.83,73.25,66.06,9.0,13.03,8.14,5.07,3.06,175.3,178.1,2795,5274,3710.1
172,0,852,852.53,31,31.88,93.6,446,480.0,0.93,37.7,33.28,11.7,11.8,3.22,2.82,2.76,158.2,160.66,2842,5508,3784.65
173,0,1238,1238.53,32,32.0,93.84,422,452.0,0.93,37.36,33.84,11.4,10.99,3.28,3.08,2.87,164.48,158.37,2958,5337,3734.35
174,0,44,44.57,30,30.24,84.04,413,432.0,0.96,33.54,29.98,12.17,11.95,2.76,2.51,2.96,169.7,174.9,2413,4495,3231.47
175,0,721,721.34,41,41.74,89.46,383,416.0,0.92,37.48,33.49,9.22,10.19,4.07,3.29,1.41,80.79,83.04,3029,5368,3677.82
176,0,1413,1413.0,29,29.8,74.87,330,353.0,0.93,29.15,25.49,11.18,11.31,2.61,2.25,0.1,5.91,10.4,3039,5562,3800.03
177,0,1623,1623.87,51,51.02,129.5,635,720.0,0.88,55.54,49.23,11.18,11.92,4.97,4.13,1.81,103.54,103.82,2758,5478,3695.58
178,0,1165,1165.3,34,35.16,126.33,641,714.0,0.9,53.14,47.24,11.7,12.61,4.54,3.75,2.8,160.2,161.11,2811,5526,3784.8
179,0,1462,1462.42,31,31.69,85.7,383,408.0,0.94,35.36,30.5,11.18,10.95,3.16,2.79,3.0,171.87,171.66,3023,5381,3754.8
180,0,1653,1653.3,44,44.99,112.23,510,551.0,0.93,47.41,42.77,10.3,10.6,4.61,4.04,2.05,117.65,117.83,2956,5489,3783.58
181,0,732,732.76,38,38.5,70.04,285,302.0,0.94,28.64,25.12,10.2,9.85,2.81,2.55,1.36,77.91,81.9,3035,5679,3803.11
182,0,1790,1790.81,46,46.62,110.67,512,563.0,0.91,46.17,41.43,10.44,11.09,4.42,3.74,1.88,107.65,107.84,2856,5226,3664.07
183,0,207,207.64,38,38.32,75.5,327,344.0,0.95,30.23,26.23,11.66,10.8,2.59,2.43,0.97,55.78,49.81,2868,5308,3701.91
184,0,777,777.58,46,46.37,104.81,491,527.0,0.93,43.86,39.25,10.77,11.01,4.07,3.56,1.99,114.23,117.51,2910,5297,3757.12
185,0,1354,1354.03,32,32.11,80.04,346,366.0,0.95,33.24,29.11,10.2,10.37,3.26,2.81,3.02,173.09,174.15,3069,5093,3722.62
186,0,1811,1811.48,38,38.3,83.15,363,388.0,0.94,33.42,29.41,11.4,10.71,2.93,2.75,0.68,38.93,36.29,2864,5492,3743.2
187,0,132,132.92,44,44.14,104.37,499,528.0,0.95,45.45,39.94,11.4,10.83,3.99,3.69,2.26,129.64,132.95,3001,5561,3770.04
188,0,1021,1021.86,42,42.46,76.38,338,353.0,0.96,30.81,27.61,11.18,10.67,2.76,2.59,1.8,103.13,96.75,2902,5245,3658.57
189,0,1088,1088.37,36,36.94,92.43,423,453.0,0.93,37.7,32.9,11.7,11.24,3.22,2.93,0.38,21.8,21.71,2898,5498,3814.56
190,0,1308,1309.02,43,43.07,81.46,357,388.0,0.92,33.06,29.13,11.0,10.84,3.01,2.69,1.51,86.53,89.92,2945,5662,3704.05
191,0,1385,1385.06,34,34.19,73.46,325,342.0,0.95,28.86,25.57,11.18,11.01,2.58,2.32,0.24,14.04,10.83,2824,5349,3741.52
192,0,1424,1424.12,40,40.24,109.64,528,568.0,0.93,45.28,40.12,11.66,11.55,3.88,3.47,0.53,30.53,28.89,2900,5572,3723.3
193,0,1497,1497.18,43,43.87,112.02,549,595.0,0.92,46.87,42.22,10.82,11.66,4.33,3.62,0.59,33.69,37.49,2837,5224,3646.57
195,0,708,708.62,53,53.13,119.7,593,643.0,0.92,51.79,46.81,10.2,11.36,5.08,4.12,1.4,79.99,83.91,2796,5264,3588.83
196,0,1855,1855.76,53,53.54,125.6,603,672.0,0.9,52.95,48.2,8.25,11.55,6.42,4.17,1.76,100.89,98.48,2860,5390,3719.49
197,0,340,340.87,50,50.31,110.08,517,562.0,0.92,45.88,40.87,10.77,11.29,4.26,3.62,1.93,110.41,109.61,2734,5168,3578.87
198,0,1779,1779.13,47,47.45,95.01,407,443.0,0.92,38.33,34.39,10.2,10.48,3.76,3.28,1.83,105.12,107.24,3133,5319,3814.96
199,0,2021,2022.0,45,45.11,78.63,340,363.0,0.94,32.06,28.17,10.0,10.53,3.21,2.67,1.63,93.58,94.63,2958,5142,3722.43
200,0,219,219.75,41,41.77,69.25,305,317.0,0.96,27.46,24.11,10.82,11.06,2.54,2.18,0.99,56.89,50.47,3040,5273,3719.81
201,0,244,244.28,42,42.73,68.53,298,314.0,0.95,26.68,23.0,11.18,11.17,2.39,2.06,1.34,77.01,75.34,2710,5173,3606.66
202,0,755,755.07,57,57.36,126.77,594,660.0,0.9,54.45,49.51,9.22,11.0,5.91,4.5,1.7,97.39,97.95,2977,5729,3953.12
203,0,1599,1599.01,58,58.88,142.95,629,691.0,0.91,61.85,55.96,9.85,10.08,6.28,5.55,1.17,67.17,66.14,2970,5557,3806.86
204,0,114,114.2,46,46.02,76.28,317,342.0,0.93,30.81,27.07,10.2,10.21,3.02,2.65,1.8,103.13,102.39,2977,5498,3803.79
205,0,449,449.31,41,41.81,84.91,367,394.0,0.93,33.12,29.92,10.3,10.91,3.22,2.74,0.5,28.89,31.29,2786,5285,3618.41
206,0,491,491.71,44,44.12,85.74,399,419.0,0.95,35.38,30.92,9.9,11.46,3.57,2.7,2.4,137.29,137.94,2803,5265,3662.27
207,0,615,616.02,50,50.78,100.67,477,510.0,0.94,41.48,36.55,11.4,11.33,3.64,3.22,1.84,105.38,110.0,2779,5241,3653.5
208,0,1522,1522.48,43,43.03,104.33,499,536.0,0.93,42.94,38.23,11.66,11.39,3.68,3.36,0.48,27.76,25.2,2872,5392,3698.12
209,0,171,171.75,48,48.85,94.81,458,487.0,0.94,39.45,34.61,11.66,11.55,3.38,3.0,1.04,59.53,56.35,2854,5118,3622.78
210,0,1831,1831.39,49,49.56,91.94,419,448.0,0.94,37.64,33.37,11.7,10.99,3.22,3.04,1.27,73.01,75.87,3085,5667,3874.77
211,0,1643,1643.64,51,51.41,98.57,435,474.0,0.92,40.31,35.8,10.3,10.79,3.92,3.32,2.09,119.74,118.17,2920,5262,3686.79
212,0,288,288.47,49,49.59,77.21,342,362.0,0.94,31.26,27.41,11.18,10.79,2.8,2.54,1.44,82.65,89.41,2834,5005,3674.96
213,0,359,359.35,57,57.92,115.36,551,596.0,0.92,48.66,43.86,11.18,11.12,4.35,3.94,1.41,80.54,81.71,2942,5553,3738.79
214,0,1741,1741.12,54,54.74,99.46,474,498.0,0.95,42.43,37.92,11.18,10.97,3.79,3.46,1.71,98.13,92.78,2714,4790,3468.4
215,0,192,192.22,59,60.0,117.36,555,607.0,0.91,49.5,44.42,10.2,11.08,4.85,4.01,1.71,98.13,96.7,2803,5292,3748.08
216,0,409,409.44,50,50.39,119.3,559,607.0,0.92,50.48,45.2,10.82,11.09,4.67,4.08,2.55,146.31,149.79,2912,5699,3818.15
217,0,1118,1117.88,44,44.86,113.01,518,575.0,0.9,47.3,42.98,10.2,10.92,4.64,3.94,0.23,13.45,13.5,2930,5590,3773.5
218,0,1767,1767.89,55,56.03,97.7,469,499.0,0.94,41.11,35.77,12.04,11.35,3.41,3.15,1.64,94.18,96.34,2806,5356,3683.24
219,0,525,525.85,58,58.51,119.05,572,612.0,0.93,50.57,45.09,11.18,11.2,4.52,4.02,1.14,65.46,64.45,2763,5204,3662.01
220,0,547,547.19,50,50.41,91.05,423,439.0,0.96,38.42,33.66,11.4,10.88,3.37,3.09,0.9,51.34,46.21,2914,5455,3697.26
221,0,811,811.19,43,43.72,91.7,435,463.0,0.94,37.11,33.52,11.4,11.47,3.25,2.92,2.9,165.96,171.34,2908,5308,3819.91
222,0,963,963.96,52,52.41,81.8,363,387.0,0.94,33.24,29.95,11.18,10.59,2.97,2.83,1.69,96.91,90.32,2741,4804,3523.55
223,0,1249,1248.77,47,47.72,159.98,791,925.0,0.86,68.88,62.31,8.25,12.38,8.35,5.03,2.91,166.57,166.16,2746,5507,3737.13
224,0,1460,1460.8,44,44.18,105.36,531,581.0,0.91,43.29,38.39,12.17,12.31,3.56,3.12,3.03,173.37,174.6,2859,5600,3748.23
